State,District,Market,Commodity,Variety,Grade,Arrival_Date,Year,Month,Week,Season,Rainfall_mm,Temperature_C,Humidity_percent,Min_Price_Rs_per_Quintal,Max_Price_Rs_per_Quintal,Modal_Price_Rs_per_Quintal
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-06-26,2026,6,39,Summer,36.1,31.8,36.6,857.87,934.0,896.04
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-07-03,2026,7,40,Monsoon,196.8,28.6,92.5,1018.61,1095.46,1055.31
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-07-10,2026,7,41,Monsoon,286.1,27.2,67.8,1021.68,1101.82,1071.0
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-07-17,2026,7,42,Monsoon,200.7,28.0,90.1,1029.85,1111.99,1070.57
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-07-24,2026,7,43,Monsoon,265.6,23.6,81.4,1034.46,1105.78,1072.4
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-07-31,2026,7,44,Monsoon,282.9,28.7,77.5,1020.1,1115.18,1058.42
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-08-07,2026,8,45,Monsoon,230.0,28.5,77.2,1012.42,1107.93,1060.24
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-08-14,2026,8,46,Monsoon,172.9,28.1,77.1,1018.5,1102.2,1057.77
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-08-21,2026,8,47,Monsoon,277.1,27.0,78.4,1016.16,1104.77,1065.01
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-08-28,2026,8,48,Monsoon,240.8,29.5,74.5,1017.27,1104.66,1053.93
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-09-04,2026,9,49,Monsoon,242.7,31.8,75.4,1013.72,1095.45,1064.24
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-09-11,2026,9,50,Monsoon,302.3,29.3,79.7,1049.04,1127.11,1090.84
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-09-18,2026,9,51,Monsoon,354.5,28.3,80.7,1052.34,1138.04,1091.24
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-09-25,2026,9,52,Monsoon,232.3,26.4,82.8,1068.42,1152.88,1100.0
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2025-10-03,2025,10,1,Post-Monsoon,35.6,27.5,66.5,5408.32,5411.66,5409.73
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2025-10-10,2025,10,2,Post-Monsoon,35.2,23.0,63.4,5377.02,5380.99,5379.07
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2025-10-17,2025,10,3,Post-Monsoon,54.7,23.3,65.0,5308.38,5311.6,5309.98
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2025-10-24,2025,10,4,Post-Monsoon,85.5,21.8,64.3,5309.02,5312.21,5310.58
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2025-10-31,2025,10,5,Post-Monsoon,67.2,21.5,66.5,5323.87,5327.22,5325.64
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2025-11-07,2025,11,6,Post-Monsoon,83.1,22.6,50.1,5421.54,5425.61,5423.7
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2025-11-14,2025,11,7,Post-Monsoon,31.8,27.5,45.4,5295.59,5298.62,5296.86
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2025-11-21,2025,11,8,Post-Monsoon,57.9,22.9,62.8,5427.22,5431.02,5428.98
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2025-11-28,2025,11,9,Post-Monsoon,62.5,24.3,57.5,5425.2,5428.8,5426.97
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2025-12-05,2025,12,10,Winter,0.0,14.0,50.2,3672.94,3675.24,3674.09
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2025-12-12,2025,12,11,Winter,10.1,19.0,41.2,3624.35,3626.86,3625.66
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2025-12-19,2025,12,12,Winter,2.2,19.2,33.1,3541.94,3544.13,3542.91
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2025-12-26,2025,12,13,Winter,12.0,20.9,56.7,3592.76,3594.58,3593.74
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-01-02,2026,1,14,Winter,0.0,16.1,45.2,3603.81,3605.92,3604.88
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-01-09,2026,1,15,Winter,11.5,15.7,40.7,3540.96,3543.32,3542.34
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-01-16,2026,1,16,Winter,0.0,15.1,52.4,3479.33,3482.18,3480.61
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-01-23,2026,1,17,Winter,13.9,18.6,39.0,3469.04,3471.06,3470.04
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-01-30,2026,1,18,Winter,11.0,25.7,44.3,3562.9,3564.88,3563.85
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-02-06,2026,2,19,Winter,9.7,23.3,40.6,3556.27,3558.38,3557.11
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-02-13,2026,2,20,Winter,5.5,19.9,51.8,3483.0,3484.88,3484.02
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-02-20,2026,2,21,Winter,4.2,17.3,44.5,3477.12,3479.29,3478.14
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-02-27,2026,2,22,Winter,0.0,19.1,49.3,3469.84,3472.17,3470.87
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-03-06,2026,3,23,Summer,45.0,34.4,39.5,3924.78,3927.71,3926.36
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-03-13,2026,3,24,Summer,33.7,33.8,31.1,3929.54,3932.48,3931.01
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-03-20,2026,3,25,Summer,29.3,35.0,40.2,3924.0,3926.7,3925.26
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-03-27,2026,3,26,Summer,20.7,33.3,36.8,3972.73,3975.32,3974.1
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-04-03,2026,4,27,Summer,34.0,31.6,48.8,4090.77,4093.55,4092.27
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-04-10,2026,4,28,Summer,22.1,37.3,41.4,4168.46,4170.65,4169.6
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-04-17,2026,4,29,Summer,34.8,35.7,40.6,4160.0,4162.37,4161.13
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-04-24,2026,4,30,Summer,55.4,39.9,37.5,4098.97,4101.99,4100.38
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-05-01,2026,5,31,Summer,58.4,31.4,37.1,4265.43,4267.96,4266.86
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-05-08,2026,5,32,Summer,13.5,30.0,34.6,4277.79,4280.61,4279.18
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-05-15,2026,5,33,Summer,57.9,30.0,46.9,4287.21,4290.01,4288.64
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-05-22,2026,5,34,Summer,42.1,29.6,42.7,4294.31,4297.15,4295.66
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-05-29,2026,5,35,Summer,35.2,40.4,35.5,4315.52,4318.28,4317.02
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-06-05,2026,6,36,Summer,20.0,31.1,48.3,4315.2,4317.57,4316.3
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-06-12,2026,6,37,Summer,15.0,34.4,36.1,4286.54,4289.21,4287.79
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-06-19,2026,6,38,Summer,2.7,37.6,52.6,4259.7,4262.49,4261.2
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-06-26,2026,6,39,Summer,35.1,34.0,44.6,4266.67,4268.97,4267.63
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-07-03,2026,7,40,Monsoon,176.1,25.2,75.6,4876.0,4879.58,4877.58
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-07-10,2026,7,41,Monsoon,191.5,28.4,79.9,4833.9,4837.33,4835.18
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-07-17,2026,7,42,Monsoon,190.8,27.0,86.3,4851.17,4854.57,4852.57
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-07-24,2026,7,43,Monsoon,252.1,27.3,83.5,4842.42,4845.47,4843.72
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-07-31,2026,7,44,Monsoon,247.9,30.1,87.0,4961.41,4964.44,4962.68
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-08-07,2026,8,45,Monsoon,210.8,28.3,87.2,4773.53,4776.89,4775.26
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-08-14,2026,8,46,Monsoon,198.4,28.1,87.7,4861.48,4864.58,4863.0
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-08-21,2026,8,47,Monsoon,145.2,29.5,83.9,4962.54,4965.15,4963.62
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-08-28,2026,8,48,Monsoon,232.1,28.5,89.5,4817.59,4820.79,4819.17
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-09-04,2026,9,49,Monsoon,253.4,28.4,77.3,4802.54,4805.84,4804.04
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-09-11,2026,9,50,Monsoon,163.5,28.3,75.8,4785.61,4788.07,4786.88
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-09-18,2026,9,51,Monsoon,189.3,28.8,89.4,4693.86,4696.78,4695.39
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Potato,Other,Local,2026-09-25,2026,9,52,Monsoon,323.5,25.1,66.8,4648.6,4651.39,4650.0
Tamil Nadu,Nagercoil (Kannyiakumari),Myladi(Uzhavar Sandhai ),Potato,Red Nanital,Local,2025-10-03,2025,10,1,Post-Monsoon,55.1,24.1,61.5,3529.09,3532.39,3530.99
Tamil Nadu,Nagercoil (Kannyiakumari),Myladi(Uzhavar Sandhai ),Potato,Red Nanital,Local,2025-10-10,2025,10,2,Post-Monsoon,45.0,22.0,58.0,3574.5,3577.18,3575.57
Tamil Nadu,Nagercoil (Kannyiakumari),Myladi(Uzhavar Sandhai ),Potato,Red Nanital,Local,2025-10-17,2025,10,3,Post-Monsoon,47.4,25.1,69.8,3594.53,3597.29,3595.8
Tamil Nadu,Nagercoil (Kannyiakumari),Myladi(Uzhavar Sandhai ),Potato,Red Nanital,Local,2025-10-24,2025,10,4,Post-Monsoon,45.8,25.4,62.8,3571.3,3574.18,3572.57
